time,latitude,longitude,speed,accuracy,bearing
1551713348487,30.032228,120.867242,37,1,343
1551713349513,30.03232,120.867209,39,1,343
1551713350457,30.032417,120.867175,41,1,343
1551713351486,30.03252,120.867141,43,1,344
1551713352455,30.032628,120.867104,46,1,343
1551713353457,30.03274,120.867062,48,1,342
1551713354448,30.032855,120.867016,49,1,341
1551713355526,30.032974,120.866969,51,1,341
1551713356453,30.033098,120.866922,52,1,342
1551713357565,30.03322,120.866877,51,1,343
1551713358454,30.033343,120.866834,51,1,343
1551713359560,30.033465,120.866793,51,1,344
1551713360458,30.03359,120.866752,52,1,344
1551713361563,30.033717,120.866712,52,1,345
1551713362511,30.033842,120.866672,51,1,345
1551713363497,30.033965,120.866636,50,1,346
1551713364486,30.034083,120.866603,48,1,347
1551713365483,30.034199,120.866568,47,1,345
1551713366445,30.034307,120.866532,44,1,343
1551713367525,30.034407,120.866498,41,1,344
1551713368413,30.0345,120.866465,38,1,342
1551713369507,30.034583,120.866438,33,1,346
1551713370446,30.034656,120.866417,28,1,348
1551713371493,30.034721,120.866413,25,1,360
1551713372418,30.034781,120.866431,24,1,19
1551713373560,30.034829,120.866465,23,1,36
1551713374438,30.034868,120.866517,24,1,52
1551713375460,30.034897,120.866586,27,1,67
1551713376410,30.034917,120.866666,30,1,75
1551713377508,30.034934,120.866759,34,1,78
1551713378435,30.034952,120.866862,37,1,79
1551713379441,30.034971,120.866972,40,1,79
1551713380435,30.034992,120.867091,43,1,78
1551713381423,30.035012,120.867221,46,1,80
1551713382405,30.035031,120.867357,48,1,81
1551713383497,30.035049,120.867499,50,1,82
1551713384409,30.035066,120.867641,50,1,82
1551713385480,30.035082,120.867776,46,1,82
1551713386402,30.035097,120.867902,43,1,82
1551713387464,30.035111,120.868016,39,1,81
1551713388432,30.035127,120.86812,35,1,80
1551713389578,30.035144,120.868212,31,1,77
1551713390440,30.035165,120.868294,29,1,70
1551713391518,30.035191,120.86836,24,1,65
1551713392428,30.035218,120.868414,20,1,59
1551713393473,30.035245,120.868453,16,1,49
1551713394391,30.035267,120.868476,10,1,44
1551713395513,30.035275,120.868484,3,1,44
1551713397089,30.035276,120.868488,0,1,0
1551713397490,30.035274,120.86849,0,1,0
1551713398433,30.035274,120.868492,0,1,0
1551713399405,30.035273,120.868494,0,1,0
1551713400361,30.035273,120.868494,0,1,0
1551713401437,30.035274,120.868495,0,1,0
1551713402355,30.035273,120.868497,0,1,0
1551713403450,30.035273,120.868497,0,1,0
1551713404361,30.035273,120.868498,0,1,0
1551713405423,30.035273,120.868499,0,1,0
1551713406326,30.035274,120.868499,0,1,0
1551713407367,30.035274,120.868499,0,1,0
1551713408352,30.035276,120.868501,0,1,0
1551713409379,30.035277,120.868504,0,1,52
1551713410382,30.035281,120.868512,4,1,73
1551713411424,30.035279,120.868527,6,1,89
1551713412417,30.035272,120.868545,7,1,106
1551713413419,30.035262,120.868563,7,1,113
1551713414397,30.035253,120.868582,7,1,116
1551713415575,30.035244,120.868604,9,0,114
1551713415575,30.035244,120.868604,9,0,114
1551713417469,30.035223,120.868684,18,1,103
1551713418410,30.035216,120.868744,23,1,97
1551713419511,30.035214,120.868816,26,1,90
1551713420423,30.035218,120.868899,30,1,86
1551713421509,30.035225,120.868991,33,1,85
1551713422443,30.035233,120.869091,36,1,84
1551713423513,30.035243,120.869198,38,1,83
1551713424476,30.035254,120.86931,40,1,83
1551713425463,30.035268,120.869428,42,1,82
1551713426473,30.035282,120.869551,44,1,82
1551713427590,30.035298,120.869676,44,1,81
1551713428509,30.035313,120.869798,43,1,82
1551713429531,30.035328,120.869919,42,1,82
1551713430488,30.035342,120.870041,43,1,82
1551713431534,30.035356,120.870163,43,1,82
1551713432439,30.035368,120.870285,42,1,83
1551713433536,30.035379,120.870404,41,1,84
1551713434437,30.035385,120.870528,44,1,87
1551713435453,30.035391,120.870659,47,1,86
1551713436481,30.035403,120.870796,48,1,83
1551713437499,30.035418,120.870936,50,1,82
1551713438408,30.035437,120.871082,51,1,81
1551713439439,30.035455,120.871231,52,1,82
1551713440409,30.035474,120.87138,53,1,81
1551713441433,30.0355,120.871525,51,1,76
1551713442299,30.035539,120.871657,48,1,69
1551713443334,30.035562,120.871788,46,2,79
1551713444277,30.035576,120.871936,50,1,83
1551713445332,30.035587,120.872077,48,1,83
1551713446271,30.035599,120.872214,48,1,84
1551713447237,30.035611,120.872351,47,1,83
1551713448269,30.035621,120.872482,46,1,85
1551713449370,30.03564,120.872623,49,1,82
1551713450299,30.035656,120.872767,50,1,81
1551713451328,30.035673,120.872914,51,1,82
1551713452332,30.03569,120.87306,51,1,82
1551713454326,30.035724,120.873365,54,1,81
1551713455380,30.035745,120.873522,55,1,80
1551713455418,30.035745,120.873522,55,1,80
1551713457357,30.035789,120.873836,55,1,79
1551713458389,30.035809,120.87399,53,1,82
1551713459382,30.035825,120.87414,51,1,82
1551713460361,30.035842,120.874283,49,1,82
1551713461357,30.035857,120.874426,50,1,82
1551713462312,30.035871,120.874567,49,1,83
1551713463369,30.035884,120.874708,49,1,83
1551713463369,30.035884,120.874708,49,1,83
1551713465376,30.035912,120.874988,48,1,82
1551713466338,30.035929,120.875127,49,1,81
1551713467380,30.035945,120.875266,48,1,82
1551713468317,30.035962,120.875405,48,1,82
1551713469321,30.035979,120.875542,48,1,81
1551713470317,30.035997,120.875679,48,1,82
1551713471361,30.036012,120.875817,48,1,83
1551713472319,30.036027,120.875956,49,1,82
1551713473392,30.036039,120.876096,48,1,83
1551713474288,30.036053,120.876236,48,1,84
1551713475346,30.036064,120.876371,46,1,84
1551713476322,30.036077,120.876502,45,1,83
1551713477298,30.036092,120.87663,44,1,83
1551713478264,30.036106,120.876752,42,1,82
1551713479315,30.03612,120.876871,42,1,82
1551713480245,30.036131,120.87699,41,1,83
1551713481280,30.036145,120.877109,42,1,82
1551713482243,30.036157,120.877229,41,1,83
1551713483319,30.036168,120.877342,38,1,82
1551713484251,30.036182,120.87744,34,1,80
1551713485285,30.036191,120.877525,29,1,82
1551713486249,30.036203,120.877606,27,1,79
1551713487329,30.036215,120.877682,27,1,79
1551713488282,30.036225,120.877763,28,1,81
1551713489421,30.036231,120.87785,30,1,84
1551713490245,30.036236,120.877947,33,1,85
1551713491241,30.036247,120.878054,36,1,85
1551713492203,30.036263,120.878166,39,1,82
1551713493250,30.036279,120.878283,40,1,82
1551713494248,30.036294,120.8784,41,1,81
1551713495275,30.036303,120.878517,40,1,83
1551713496239,30.036313,120.878625,36,1,84
1551713497321,30.036318,120.87872,32,1,84
1551713498341,30.036322,120.878806,29,1,84
1551713499387,30.036327,120.878887,27,1,84
1551713500371,30.036333,120.878958,23,1,85
1551713501385,30.036339,120.87902,21,1,83
1551713502337,30.036355,120.879072,19,1,70
1551713503417,30.036385,120.879116,19,1,52
1551713504371,30.036431,120.879147,21,1,32
1551713505455,30.036487,120.87916,23,1,9
1551713506418,30.03655,120.879157,25,1,356
1551713507402,30.036618,120.879137,29,1,345
1551713508376,30.036694,120.87911,32,1,342
1551713509453,30.036779,120.87908,36,1,343
1551713510399,30.036872,120.879047,39,1,343
1551713511471,30.036973,120.879014,42,1,344
1551713512435,30.037082,120.87898,45,1,345
1551713513458,30.037199,120.878942,48,1,345
1551713514368,30.037322,120.878902,51,1,344
1551713515417,30.03745,120.878861,53,1,345
1551713516361,30.037582,120.878819,55,1,344
1551713517415,30.037717,120.878775,56,1,344
1551713518414,30.037852,120.878735,55,1,346
1551713519402,30.037983,120.878695,54,1,345
1551713520321,30.03811,120.878659,51,1,346
1551713521341,30.038229,120.878625,48,1,346
1551713522288,30.038342,120.878593,46,1,346
1551713523344,30.038451,120.878561,44,1,346
1551713524397,30.038556,120.87853,43,1,345
1551713525418,30.03866,120.878498,42,1,345
1551713526382,30.038754,120.87847,38,1,346
1551713527445,30.038836,120.878446,32,1,346
1551713528349,30.038905,120.878428,28,1,347
1551713529431,30.038972,120.878408,27,1,346
1551713530383,30.039033,120.87839,25,1,346
1551713531421,30.039086,120.878375,21,1,347
1551713532382,30.039134,120.878362,19,1,346
1551713533429,30.039176,120.87835,17,1,346
1551713534384,30.039216,120.878339,16,1,346
1551713535433,30.039257,120.878333,16,1,350
1551713536449,30.039298,120.878325,16,1,349
1551713537430,30.039336,120.87832,15,1,353
1551713538377,30.039368,120.878319,12,1,355
1551713539508,30.039387,120.878318,7,1,357
1551713540381,30.039402,120.878325,6,1,13
1551713541426,30.039413,120.878333,5,1,29
1551713542423,30.03942,120.878346,5,1,58
1551713543411,30.039426,120.878367,7,1,69
